api_url_id,param_seq,param_id,param_nm,default_value,is_must,is_key,is_constant,is_list,parent_seq
AU0001,1,method,메소드,getList,Y,N,Y,N,
AU0001,2,apiKey,발급된 인증 key,,Y,Y,Y,N,
AU0001,3,vwCd,서비스뷰 코드,,Y,N,N,Y,
AU0001,4,parentListId,시작목록 ID,,Y,N,N,Y,3
AU0001,5,format,결과 유형(json),json,Y,N,Y,N,
AU0001,6,jsonVD,json VD,Y,N,N,Y,Y,
AU0002,1,method,메소드,getList,Y,N,Y,N,
AU0002,2,apiKey,발급된 인증 key,,Y,Y,Y,N,
AU0002,3,orgId,기관 ID,,Y,N,N,N,
AU0002,4,tblId,통계표 ID,,Y,N,N,N,
AU0002,5,objL1,분류1,,Y,N,N,Y,
AU0002,6,objL2,분류2,,N,N,N,Y,
AU0002,7,objL3,분류3,,N,N,N,Y,
AU0002,8,objL4,분류4,,N,N,N,Y,
AU0002,9,objL5,분류5,,N,N,N,Y,
AU0002,10,objL6,분류6,,N,N,N,Y,
AU0002,11,objL7,분류7,,N,N,N,Y,
AU0002,12,objL8,분류8,,N,N,N,Y,
AU0002,13,itmId,항목,,Y,N,N,Y,
AU0002,14,prdSe,수록주기,,Y,N,N,N,
AU0002,15,startPrdDe,시작수록시점,,N,N,N,N,
AU0002,16,endPrdDe,종료수록시점,,N,N,N,N,
AU0002,17,newEstPrdCnt,최근수록시점 개수,,N,N,N,N,
AU0002,18,prdInterval,수록시점 간격,,N,N,N,N,
AU0002,19,format,결과 유형(json),json,Y,N,Y,N,
AU0002,20,jsonVD,json VD,Y,N,N,Y,Y,
AU0002,21,outputFields,응답필드(출력변수 선택),,N,N,N,Y,